"Nom","Nombre_de_victoires","Taux_de_victoire_sur_1000_parties"
"Simon","37.0","3.6999999999999997%"
"Damien","963.0","96.3%"
"","",""
"Nom","Nombre_de_victoires","Taux_de_victoire_sur_1000_parties"
"Simon","27.0","2.7%"
"Damien","973.0","97.3%"
